name,year,selling_price,km_driven,transmission,owner,seats,max_power (in bph),Mileage
Tata,2019,550000,15000,Manual,First Owner,5,84.0,20.3
Maruti,2008,95000,120000,Manual,First Owner,5,46.3,19.7
Hyundai,2012,244000,38000,Manual,First Owner,5,55.2,21.1
Maruti,2013,250000,90000,Manual,Second Owner,5,67.04,20.51
Maruti,2016,660000,60000,Manual,First Owner,5,83.1,21.4
Maruti,2012,280000,156060,Manual,First Owner,5,73.94,23.2
Hyundai,2017,1050000,60000,Manual,First Owner,5,126.2,19.67
Maruti,2017,525000,70000,Manual,First Owner,5,83.14,20.85
Maruti,2015,241000,15000,Manual,First Owner,5,47.3,22.74
Maruti,2015,235000,20000,Manual,First Owner,5,47.3,22.74
Ford,2015,615000,80000,Manual,First Owner,5,98.59,22.77
Mahindra,2014,350000,110000,Manual,Second Owner,5,64.1,20.8
Maruti,2014,350000,35000,Manual,First Owner,5,67.04,20.51
Maruti,2014,380000,35000,Manual,First Owner,5,67.04,20.51
Hyundai,2015,360000,20000,Manual,First Owner,5,68.05,19.81
Hyundai,2016,425000,15000,Manual,First Owner,5,68.05,19.81
Maruti,2009,120000,58000,Manual,First Owner,5,46.3,19.7
Hyundai,2015,204999,43000,Manual,Second Owner,5,68.05,20.3
Maruti,2013,600000,60000,Manual,First Owner,7,88.8,20.77
Hyundai,2011,300000,80000,Manual,First Owner,5,126.32,22.32
Maruti,2015,750000,14000,Manual,First Owner,7,88.76,20.77
Hyundai,2011,160000,57000,Manual,First Owner,5,55.2,21.1
Toyota,2015,1050000,60000,Manual,First Owner,5,87.2,21.43
Tata,2010,150000,120000,Manual,Second Owner,5,88.8,21.12
Maruti,2015,350000,25000,Manual,First Owner,5,67.04,23.1
Renault,2019,580000,12000,Manual,First Owner,7,72.0,20.0
Ford,2010,180000,110000,Manual,Second Owner,5,68.0,20.0
Hyundai,2010,270000,100000,Manual,Fourth & Above Owner,5,90.0,21.9
Ford,2011,190000,90000,Manual,Second Owner,5,68.0,20.0
Toyota,2013,409999,90000,Manual,First Owner,5,67.04,23.59
Hyundai,2015,270000,43000,Manual,First Owner,5,55.2,21.1
Tata,2017,280000,80000,Manual,First Owner,5,74.0,22.95
Tata,2012,130000,60000,Manual,First Owner,5,74.0,22.3
Hyundai,2014,260000,18945,Manual,First Owner,5,55.2,21.1
Hyundai,2012,320000,107825,Manual,Second Owner,5,90.0,21.9
Maruti,2020,370000,15000,Manual,First Owner,5,47.3,22.05
Hyundai,2018,750000,30000,Manual,First Owner,5,88.76,21.19
Hyundai,2019,450000,10000,Manual,First Owner,5,68.0,20.3
Maruti,2012,400000,100000,Manual,Third Owner,7,88.76,20.77
Maruti,2013,199000,60000,Manual,Second Owner,5,67.1,20.2
Hyundai,2016,540000,80000,Manual,Third Owner,5,88.73,21.19
Maruti,2011,250000,85000,Manual,Second Owner,5,88.8,21.5
Hyundai,2012,450000,120000,Manual,Second Owner,5,126.32,22.32
Hyundai,2019,1000000,15000,Manual,First Owner,5,88.7,22.1
Maruti,2012,415000,108000,Manual,First Owner,5,74.0,23.4
Ford,2011,175000,90400,Manual,First Owner,5,68.0,20.0
Maruti,2003,85000,120000,Manual,Third Owner,5,58.0,20.8
Maruti,2019,675000,5000,Manual,First Owner,5,81.8,21.21
Renault,2016,535000,50000,Manual,First Owner,5,83.8,19.87
Renault,2019,675000,5000,Manual,First Owner,7,72.0,20.0
Maruti,2012,425000,96000,Manual,Second Owner,7,88.8,20.77
Hyundai,2017,850000,63186,Manual,First Owner,5,88.73,22.54
Maruti,2019,675000,5000,Automatic,First Owner,5,83.1,21.4
Maruti,2010,150000,91500,Manual,First Owner,5,46.3,19.7
Volkswagen,2012,350000,40000,Manual,First Owner,5,103.6,20.54
Maruti,2012,300000,70000,Manual,First Owner,5,73.94,23.2
Hyundai,2013,700000,120000,Manual,First Owner,5,126.24,22.7
Chevrolet,2013,300000,65000,Manual,First Owner,5,76.9,22.1
Hyundai,2015,650000,100000,Manual,First Owner,5,88.73,22.54
Hyundai,2015,650000,80000,Manual,First Owner,5,88.73,22.54
Volkswagen,2013,350000,80000,Manual,Third Owner,5,73.9,22.07
Maruti,2013,240000,60000,Manual,First Owner,5,67.1,20.92
Maruti,2014,550000,50000,Manual,Second Owner,7,88.76,20.77
Maruti,2013,350000,40000,Manual,First Owner,5,67.04,20.51
Ford,2012,425000,81632,Manual,First Owner,5,68.0,20.0
Ford,2014,750000,101504,Manual,First Owner,5,89.84,22.7
Ford,2013,600000,125531,Manual,Second Owner,5,98.59,22.77
Tata,2018,950000,40000,Automatic,First Owner,5,108.5,21.5
Maruti,2013,409999,100000,Manual,Third Owner,5,73.94,23.2
Maruti,2000,108000,206000,Manual,Fourth & Above Owner,5,46.3,19.7
Maruti,2017,425000,40000,Manual,Second Owner,5,67.04,23.1
Hyundai,2013,310000,70000,Manual,First Owner,5,68.05,19.81
Hyundai,2017,1125000,105000,Manual,First Owner,5,88.7,21.38
Volkswagen,2011,388000,80000,Manual,Second Owner,5,73.9,22.07
Maruti,2009,120000,90000,Manual,First Owner,5,46.3,19.7
Maruti,2015,270000,53000,Manual,Second Owner,5,47.3,22.74
Maruti,2019,600000,10000,Automatic,First Owner,5,81.8,21.21
Maruti,2013,215000,25000,Manual,First Owner,5,67.1,20.92
Hyundai,2015,750000,74000,Manual,First Owner,5,126.2,19.67
Maruti,2018,795000,41779,Manual,First Owner,5,81.8,21.21
Maruti,2018,750000,15000,Manual,First Owner,5,81.8,22.0
Hyundai,2017,1150000,63309,Manual,First Owner,5,126.2,19.67
Maruti,2016,400000,35000,Automatic,First Owner,5,67.04,23.1
Chevrolet,2015,480000,80000,Manual,Second Owner,5,74.0,22.1
Maruti,2005,90000,40000,Manual,Second Owner,5,46.3,19.7
Maruti,2005,80000,40000,Manual,Second Owner,5,46.3,19.7
Maruti,2015,350000,90000,Manual,First Owner,5,73.94,23.2
Mahindra,2012,350000,25000,Manual,First Owner,5,65.0,21.03
Maruti,2016,340000,40000,Manual,First Owner,5,67.04,20.51
Hyundai,2014,300000,65000,Manual,First Owner,5,78.9,20.36
Maruti,2014,204999,15000,Manual,Second Owner,5,47.3,22.74
Mahindra,2012,254999,70000,Manual,Second Owner,5,65.0,20.8
Hyundai,2017,280000,50000,Manual,Second Owner,5,55.2,21.1
Hyundai,2011,225000,80000,Manual,Second Owner,5,68.05,19.81
Mahindra,2012,260000,70000,Manual,Second Owner,5,65.0,21.03
Ford,2012,280000,60000,Manual,First Owner,5,68.0,20.0
Mahindra,2014,350000,106000,Manual,Second Owner,5,65.0,20.8
Maruti,2013,250000,27000,Manual,First Owner,5,67.1,20.92
Maruti,2007,95000,70000,Manual,Second Owner,5,46.3,19.7
Maruti,2017,610000,15000,Manual,First Owner,5,81.8,22.0
Maruti,2015,511000,30000,Manual,First Owner,5,83.14,20.85
Renault,2013,434999,120000,Manual,First Owner,5,84.8,21.64
Ford,2010,210000,100000,Manual,Second Owner,5,68.0,20.0
Renault,2017,290000,50000,Manual,First Owner,5,67.0,23.01
Maruti,2006,100000,40000,Manual,First Owner,5,46.3,19.7
Maruti,2019,450000,10000,Manual,First Owner,5,61.7,21.94
Maruti,2014,351000,89100,Manual,Second Owner,5,73.94,23.2
Hyundai,2015,225000,120000,Manual,Second Owner,5,55.2,21.1
Maruti,2011,140000,50000,Manual,Third Owner,5,67.1,20.92
Maruti,2017,370000,140000,Manual,First Owner,5,61.7,21.94
Hyundai,2015,500000,126000,Manual,First Owner,5,88.73,21.19
Hyundai,2019,570000,15000,Manual,First Owner,5,81.86,20.14
Maruti,2009,120000,120000,Manual,First Owner,5,46.3,19.7
Maruti,2011,280000,210000,Manual,First Owner,5,74.0,22.9
Maruti,2009,180000,85000,Manual,Third Owner,5,73.9,21.1
Hyundai,2009,340000,40000,Manual,First Owner,5,90.0,23.0
Maruti,2017,400000,65000,Manual,Second Owner,5,67.04,20.51
Maruti,2005,95000,70000,Manual,Third Owner,5,46.3,19.7
Renault,2017,880000,65000,Manual,First Owner,8,108.5,19.98
Maruti,2019,480000,25000,Manual,First Owner,5,81.8,20.52
Honda,2016,850000,72113,Manual,First Owner,7,98.6,21.9
Tata,2012,300000,40000,Manual,First Owner,5,70.0,23.57
Maruti,2010,220000,20000,Manual,First Owner,5,85.8,21.1
Maruti,2014,450000,80000,Manual,First Owner,5,74.0,23.4
Hyundai,2018,800000,30000,Manual,First Owner,5,88.76,21.19
Volkswagen,2011,375000,69000,Manual,Second Owner,5,103.6,20.54
Maruti,2004,60000,113000,Manual,Second Owner,5,46.3,19.7
Renault,2012,300000,100000,Manual,Third Owner,5,63.12,23.08
Tata,2012,150000,110000,Manual,First Owner,5,74.0,22.3
Ford,2015,600000,90000,Manual,First Owner,5,98.59,22.77
Ford,2011,204999,100000,Manual,Second Owner,5,68.0,20.0
Maruti,2019,610000,10000,Automatic,First Owner,5,81.8,21.21
Maruti,2014,509999,110000,Manual,First Owner,5,74.0,23.4
Maruti,2014,511000,100000,Manual,First Owner,5,74.0,23.4
Hyundai,2014,451000,91000,Manual,First Owner,5,88.73,22.54
Hyundai,2009,170000,100000,Manual,First Owner,5,78.9,20.36
Maruti,2013,450000,120000,Manual,Second Owner,5,74.0,23.4
Maruti,2016,305000,60000,Manual,Second Owner,5,47.3,22.74
Chevrolet,2016,250000,60000,Manual,Second Owner,5,74.0,22.1
Ford,2012,200000,104500,Manual,Second Owner,5,68.0,20.0
Maruti,2014,509999,100000,Manual,Second Owner,5,74.0,22.9
Maruti,2014,235000,50000,Manual,First Owner,5,47.3,22.74
Maruti,2019,585000,10000,Manual,First Owner,5,81.8,21.21
Mahindra,2018,500000,10000,Manual,First Owner,8,45.0,23.5
Maruti,2019,450000,60000,Manual,First Owner,5,61.7,21.94
Hyundai,2013,325000,70000,Manual,Third Owner,5,88.76,21.9
Volkswagen,2011,260000,120000,Manual,Third Owner,5,103.6,20.54
Maruti,2009,130000,80000,Manual,Third Owner,5,46.3,19.7
Hyundai,2014,275000,53000,Manual,First Owner,5,78.9,20.36
Volkswagen,2013,330000,100000,Manual,Third Owner,5,103.6,20.54
Maruti,2012,450000,98000,Manual,Fourth & Above Owner,7,88.8,20.77
Hyundai,2014,250000,60000,Manual,First Owner,5,55.2,21.1
Hyundai,2010,165000,80000,Manual,Third Owner,5,78.9,20.36
Tata,2017,525000,19723,Automatic,First Owner,5,84.0,20.3
Hyundai,2017,675000,25471,Manual,First Owner,5,90.0,21.9
Maruti,2016,400000,74381,Manual,First Owner,5,67.05,21.79
Ford,2017,850000,63982,Manual,First Owner,5,89.84,22.7
Hyundai,2012,270000,56000,Manual,First Owner,5,78.9,20.36
Hyundai,2019,434999,19500,Manual,First Owner,5,68.07,20.3
Hyundai,2016,575000,53000,Manual,First Owner,5,88.73,22.54
Hyundai,2017,600000,5000,Manual,First Owner,5,81.86,20.14
Toyota,2013,270000,52380,Manual,First Owner,5,67.04,23.59
Mahindra,2018,660000,74250,Manual,First Owner,7,74.96,21.0
Maruti,2017,490000,57247,Automatic,First Owner,5,81.8,20.89
Maruti,2010,125000,120000,Manual,Third Owner,5,46.3,19.7
Maruti,2015,335000,30000,Manual,First Owner,5,67.04,20.51
Volkswagen,2012,229999,70000,Manual,Fourth & Above Owner,5,73.9,22.07
Hyundai,2017,731000,40000,Manual,First Owner,5,88.73,22.54
Hyundai,2012,395000,120000,Manual,First Owner,5,126.32,22.32
Hyundai,2014,220000,50000,Manual,Third Owner,5,55.2,21.1
Ford,2013,240000,100000,Manual,First Owner,5,68.1,20.0
Hyundai,2010,215000,120000,Manual,Third Owner,5,90.0,23.0
Maruti,2012,400000,90000,Manual,Second Owner,5,74.0,22.9
Hyundai,2019,850000,10000,Manual,First Owner,5,88.76,22.54
Maruti,2012,250000,90000,Manual,First Owner,5,67.1,20.92
Hyundai,2016,651000,42323,Manual,First Owner,5,88.76,21.19
Maruti,2018,480000,20375,Manual,First Owner,5,81.8,20.89
Mahindra,2015,445000,40200,Manual,First Owner,7,74.96,21.0
Maruti,2014,560000,90000,Manual,First Owner,7,88.8,20.77
Ford,2013,475000,48000,Manual,Second Owner,5,98.96,21.7
Maruti,2017,520000,28832,Manual,First Owner,5,74.0,23.4
Hyundai,2009,229999,50000,Manual,Second Owner,5,68.05,19.81
Maruti,2011,250000,60000,Manual,Second Owner,5,73.9,21.1
Ford,2010,144000,50000,Manual,Second Owner,5,68.0,20.0
Chevrolet,2014,260000,38000,Manual,First Owner,5,74.0,22.1
Toyota,2015,475000,120000,Manual,First Owner,5,67.05,23.59
Ford,2011,302000,103000,Manual,Third Owner,5,68.0,20.0
Maruti,2015,700000,50000,Manual,First Owner,7,88.76,20.77
Tata,2017,869999,70000,Manual,First Owner,5,108.5,21.5
Hyundai,2018,850000,60000,Manual,First Owner,5,88.76,22.54
Maruti,2006,160000,90000,Manual,First Owner,5,46.3,19.7
Hyundai,2015,310000,50000,Manual,First Owner,5,68.05,19.81
Maruti,2015,405000,68000,Manual,Second Owner,5,81.8,20.4
Hyundai,2007,135000,100000,Manual,Second Owner,5,68.05,19.81
Maruti,2018,400000,17500,Manual,First Owner,5,67.04,20.51
Maruti,2016,350000,25000,Manual,First Owner,5,67.04,20.51
Maruti,2012,185000,60000,Manual,Second Owner,5,46.3,19.7
Volkswagen,2013,550000,38000,Manual,First Owner,5,73.9,22.07
Honda,2016,900000,92000,Manual,First Owner,7,98.6,21.9
Maruti,2018,625000,10000,Manual,First Owner,5,83.1,21.4
Hyundai,2012,290000,100000,Manual,Second Owner,5,90.0,21.9
Maruti,2015,280000,28000,Manual,Second Owner,5,47.3,22.74
Renault,2017,650000,120000,Manual,First Owner,5,83.8,19.87
Maruti,2014,650000,50000,Manual,First Owner,5,74.0,23.4
Maruti,2015,650000,26000,Manual,First Owner,5,91.1,20.73
Maruti,2019,700000,20000,Automatic,First Owner,5,81.8,22.0
Renault,2016,515000,40000,Manual,First Owner,5,83.8,19.87
Maruti,2020,630000,5000,Manual,First Owner,5,81.8,21.01
Maruti,2016,300000,40000,Manual,First Owner,5,47.3,22.74
